Linux 6.6.121-0-virt (ip-172-31-0-170) 	03/24/26 	_aarch64_	(48 CPU)

11:11:55        CPU     %user     %nice   %system   %iowait    %steal     %idle
11:11:56        all      0.08      0.00      0.00      0.00      0.00     99.92
11:11:57        all      0.04      0.00      0.00      0.00      0.00     99.96
11:11:58        all      0.02      0.00      0.00      0.00      0.00     99.98
11:11:59        all      0.00      0.00      0.02      0.00      0.00     99.98
11:12:00        all      0.00      0.00      0.02      0.00      0.00     99.98
11:12:01        all      0.00      0.00      0.02      0.02      0.00     99.96
11:12:02        all      0.00      0.00      0.02      0.00      0.00     99.98
11:12:03        all      0.02      0.00      0.00      0.00      0.00     99.98
11:12:04        all      0.10      0.00      0.00      0.00      0.00     99.90
11:12:05        all      2.54      0.00      2.98      0.00      0.00     94.48
11:12:06        all      8.23      0.00     11.61      0.00      0.00     80.16
11:12:07        all      8.42      0.00     11.02      0.00      0.00     80.56
11:12:08        all      8.12      0.00     11.60      0.00      0.00     80.28
11:12:09        all      9.00      0.00     12.25      0.00      0.00     78.74
11:12:10        all      9.09      0.00     12.38      0.00      0.00     78.54
11:12:11        all      7.93      0.00     11.51      0.00      0.00     80.56
11:12:12        all      8.41      0.00     10.76      0.00      0.00     80.83
11:12:13        all      7.80      0.00     11.63      0.00      0.00     80.57
11:12:14        all      8.64      0.00     11.40      0.00      0.00     79.96
11:12:15        all      8.30      0.00     11.34      0.00      0.00     80.36
11:12:16        all      8.35      0.00     11.08      0.00      0.00     80.57
11:12:17        all      8.32      0.00     11.50      0.00      0.00     80.18
11:12:18        all      8.77      0.00     12.33      0.00      0.00     78.90
11:12:19        all      8.51      0.00     11.96      0.00      0.00     79.53
11:12:20        all      9.67      0.00     12.18      0.00      0.00     78.15
11:12:21        all     10.15      0.00     12.10      0.02      0.00     77.73
Average:        all      5.35      0.00      7.22      0.00      0.00     87.44
