procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 95737964  22980 819992    0    0    57  2063 120204    5  2  2 96  0  0  0
 0  0      0 95736956  22980 820000    0    0     0    17  864  596  0  0 100  0  0  0
 0  0      0 95736476  22980 820004    0    0     0     0  582  359  0  0 100  0  0  0
 0  0      0 95736748  22980 820012    0    0     0     0  724  395  0  0 100  0  0  0
 0  0      0 95736524  22980 820176    0    0     0     0  413  273  0  0 100  0  0  0
 0  0      0 95743956  22980 820196    0    0     0     0  434  273  0  0 100  0  0  0
 0  0      0 95744248  22980 820216    0    0     0    10  130  142  0  0 100  0  0  0
 0  0      0 95744248  22980 820236    0    0     0     0  111  123  0  0 100  0  0  0
 0  0      0 95744248  22980 820252    0    0     0     0  145  195  0  0 100  0  0  0
 0  0      0 95743520  22980 820272    0    0     0     0  286  244  0  0 100  0  0  0
 0  0      0 95740752  22980 820296    0    0     0     0 1133  282  0  0 100  0  0  0
11  0      0 95741044  22980 820312    0    0     0     0 668641 156880  5  7 88  0  0  0
15  0      0 95738372  22980 820352    0    0     0    11 1070300 243910  8 12 80  0  0  0
 3  0      0 95736584  22980 820400    0    0     0     0 1076886 245509  8 11 81  0  0  0
 3  0      0 95737436  22980 820420    0    0     0     0 1072409 244729  8 12 80  0  0  0
 1  0      0 95735600  22980 820436    0    0     0     0 1075066 245014  9 13 78  0  0  0
 6  0      0 95733196  22980 820464    0    0     0     0 1073627 244753  9 12 79  0  0  0
14  0      0 95733380  22984 820488    0    0     0     5 1068670 243889  8 11 81  0  0  0
 1  0      0 95731308  22984 820504    0    0     0     0 1067107 241720  8 11 81  0  0  0
 3  0      0 95730668  22984 820524    0    0     0     0 1070886 241192  8 12 80  0  0  0
 8  0      0 95730560  22984 820548    0    0     0     0 1075225 243563  8 12 80  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
12  0      0 95732080  22984 820572    0    0     0     0 1074207 243774  8 11 80  0  0  0
 8  0      0 95731120  22988 820584    0    0     0     5 1078074 244575  9 12 79  0  0  0
18  0      0 95729708  22988 820616    0    0     0     0 1081277 245271  8 11 80  0  0  0
 1  0      0 95730732  22988 820636    0    0     0     0 1080987 244121  8 12 80  0  0  0
 3  0      0 95728144  22988 820636    0    0     0     0 1086597 244843  9 12 79  0  0  0
