Linux 6.6.121-0-virt (ip-172-31-2-125) 	03/24/26 	_aarch64_	(48 CPU)

11:05:41      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
11:05:42            0       575      0.00      0.03      0.00         0
11:05:43            0       573      0.00      0.03      0.00         0
11:05:44            0       573      0.00      0.03      0.00         0
11:05:45            0       573      0.00      0.03      0.00         0
11:05:46           17       647      0.00      0.03      0.00         0
11:05:47           17       647      0.00      0.03      0.00         0
11:05:48           18       647      0.00      0.03      0.00         0
11:05:49           13       647      0.64      0.16      0.04         0
11:05:50           13       647      0.64      0.16      0.04         0
11:05:51           15       647      0.64      0.16      0.04         0
11:05:52            4       647      0.64      0.16      0.04         0
11:05:53           11       647      0.64      0.16      0.04         0
11:05:54           26       647      0.59      0.16      0.04         0
11:05:55            2       647      0.59      0.16      0.04         0
11:05:56           15       647      0.59      0.16      0.04         0
11:05:57           20       647      0.59      0.16      0.04         0
11:05:58           16       647      0.59      0.16      0.04         0
11:05:59            8       647      0.95      0.24      0.07         0
11:06:00           12       647      0.95      0.24      0.07         0
11:06:01           12       647      0.95      0.24      0.07         0
11:06:02            3       647      0.95      0.24      0.07         0
11:06:03            5       647      0.95      0.24      0.07         0
11:06:04            4       647      0.95      0.25      0.07         0
11:06:05           13       646      0.95      0.25      0.07         0
11:06:06           17       646      0.95      0.25      0.07         0
11:06:07            1       644      0.95      0.25      0.07         0
Average:           10       636      0.57      0.15      0.04         0
