Linux 6.6.121-0-virt (ip-172-31-2-125) 	03/24/26 	_aarch64_	(48 CPU)

11:05:40        CPU     %user     %nice   %system   %iowait    %steal     %idle
11:05:41        all      0.06      0.00      0.04      0.00      0.00     99.90
11:05:42        all      0.06      0.00      0.00      0.00      0.00     99.94
11:05:43        all      0.00      0.00      0.00      0.00      0.00    100.00
11:05:44        all      0.00      0.00      0.00      0.00      0.00    100.00
11:05:45        all      0.02      0.00      0.00      0.00      0.00     99.98
11:05:46        all      1.95      0.00     10.25      0.02      0.00     87.78
11:05:47        all      3.13      0.00     18.29      0.00      0.00     78.58
11:05:48        all      2.54      0.00     14.72      0.00      0.00     82.73
11:05:49        all      3.42      0.00     17.52      0.00      0.00     79.06
11:05:50        all      3.50      0.00     18.30      0.00      0.00     78.21
11:05:51        all      3.68      0.00     18.68      0.00      0.00     77.65
11:05:52        all      3.73      0.00     20.28      0.00      0.00     76.00
11:05:53        all      3.23      0.00     18.45      0.00      0.00     78.31
11:05:54        all      3.34      0.00     18.76      0.00      0.00     77.90
11:05:55        all      4.48      0.00     19.48      0.00      0.00     76.04
11:05:56        all      3.26      0.00     18.97      0.00      0.00     77.76
11:05:57        all      4.24      0.00     20.48      0.00      0.00     75.28
11:05:58        all      3.97      0.00     18.86      0.00      0.00     77.17
11:05:59        all      4.34      0.00     21.58      0.00      0.00     74.08
11:06:00        all      3.73      0.00     19.59      0.00      0.00     76.68
11:06:01        all      3.59      0.00     18.28      0.00      0.00     78.13
11:06:02        all      3.59      0.00     21.81      0.00      0.00     74.60
11:06:03        all      4.18      0.00     20.85      0.00      0.00     74.96
11:06:04        all      3.80      0.00     18.34      0.00      0.00     77.86
11:06:05        all      4.17      0.00     20.05      0.00      0.00     75.78
11:06:06        all      3.34      0.00     17.91      0.00      0.00     78.76
Average:        all      2.87      0.00     14.89      0.00      0.00     82.24
