procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 95940212  22712 787440    0    0    79  2907  666    0  0  0 100  0  0  0
 0  0      0 95938768  22712 787460    0    0     0     0  691  334  0  0 100  0  0  0
 0  0      0 95938768  22712 787464    0    0     0     0  578  364  0  0 100  0  0  0
 0  0      0 95937812  22712 787472    0    0     0     0  566  316  0  0 100  0  0  0
 0  0      0 95937812  22712 787472    0    0     0     0  216  224  0  0 100  0  0  0
 0  0      0 95937812  22716 787472    0    0     0    27  142  152  0  0 100  0  0  0
 0  0      0 95937812  22716 787472    0    0     0     0  360  243  0  0 100  0  0  0
 1  0      0 95883448  22784 787916    0    0     0   562 1335010 1314752  3 16 81  0  0  0
 4  0      0 95880492  22784 787916    0    0     0     0 1680395 1667072  3 17 80  0  0  0
 5  0      0 95876068  22784 787916    0    0     0     0 1683568 1670131  3 16 81  0  0  0
 3  0      0 95871580  22784 787920    0    0     0     0 1666742 1656119  3 18 79  0  0  0
10  0      0 95870584  22784 787920    0    0     0     0 1664940 1650670  4 18 78  0  0  0
12  0      0 95868924  22784 787924    0    0     0    59 1623376 1602399  4 20 76  0  0  0
 5  0      0 95867912  22784 787928    0    0     0     0 1628897 1607219  3 20 77  0  0  0
 3  0      0 95866504  22784 787928    0    0     0     0 1646631 1631133  3 19 78  0  0  0
11  0      0 95864692  22784 787928    0    0     0     0 1628828 1608057  4 18 78  0  0  0
 2  0      0 95864100  22784 787932    0    0     0     0 1599909 1575432  4 20 75  0  0  0
 7  0      0 95863108  22792 787936    0    0     0    29 1626293 1604792  3 18 79  0  0  0
22  0      0 95862620  22792 787936    0    0     0     0 1603281 1580707  4 22 74  0  0  0
14  0      0 95862240  22792 787936    0    0     0     0 1631605 1610982  4 20 76  0  0  0
14  0      0 95861636  22792 787936    0    0     0     0 1617827 1595038  4 20 76  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 8  0      0 95861488  22792 787936    0    0     0     0 1574814 1544778  4 20 75  0  0  0
17  0      0 95861008  22792 787936    0    0     0    23 1635924 1614895  3 18 78  0  0  0
18  0      0 95862848  22792 787940    0    0     0     0 1607644 1585587  4 22 74  0  0  0
21  0      0 95862572  22792 787940    0    0     0     0 1607078 1581966  4 20 76  0  0  0
14  0      0 95865120  22792 787944    0    0     0     0 1630421 1610460  4 19 77  0  0  0
