Linux 6.6.121-0-virt (ip-172-31-0-170) 	03/24/26 	_aarch64_	(48 CPU)

11:05:37      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
11:05:38            0       654      0.13      0.05      0.01         0
11:05:39            0       654      0.13      0.05      0.01         0
11:05:40            0       653      0.13      0.05      0.01         0
11:05:41            0       652      0.13      0.05      0.01         0
11:05:42            0       652      0.13      0.05      0.01         0
11:05:43            0       652      0.12      0.05      0.01         0
11:05:44            0       652      0.12      0.05      0.01         0
11:05:45            0       654      0.12      0.05      0.01         0
11:05:46            5       655      0.12      0.05      0.01         0
11:05:47            9       655      0.12      0.05      0.01         0
11:05:48            6       655      0.27      0.09      0.02         0
11:05:49           13       655      0.27      0.09      0.02         0
11:05:50            1       655      0.27      0.09      0.02         0
11:05:51           18       655      0.27      0.09      0.02         0
11:05:52           11       655      0.27      0.09      0.02         0
11:05:53           13       655      0.73      0.18      0.05         0
11:05:54           12       655      0.73      0.18      0.05         0
11:05:55            7       655      0.73      0.18      0.05         0
11:05:56            1       655      0.73      0.18      0.05         0
11:05:57            1       655      0.73      0.18      0.05         0
11:05:58            2       655      1.55      0.36      0.11         0
11:05:59            4       655      1.55      0.36      0.11         0
11:06:00           17       655      1.55      0.36      0.11         0
11:06:01            3       654      1.55      0.36      0.11         0
11:06:02           10       654      1.55      0.36      0.11         0
11:06:03           14       652      1.83      0.44      0.14         0
Average:            6       654      0.61      0.16      0.04         0
