Linux 6.6.121-0-virt (ip-172-31-0-170) 	03/24/26 	_aarch64_	(48 CPU)

11:05:36        CPU     %user     %nice   %system   %iowait    %steal     %idle
11:05:37        all      0.06      0.00      0.00      0.00      0.00     99.94
11:05:38        all      0.06      0.00      0.02      0.00      0.00     99.92
11:05:39        all      0.04      0.00      0.02      0.00      0.00     99.94
11:05:40        all      0.00      0.00      0.00      0.00      0.00    100.00
11:05:41        all      0.00      0.00      0.00      0.00      0.00    100.00
11:05:42        all      0.00      0.00      0.00      0.00      0.00    100.00
11:05:43        all      0.00      0.00      0.00      0.00      0.00    100.00
11:05:44        all      0.00      0.00      0.00      0.00      0.00    100.00
11:05:45        all      0.04      0.00      0.00      0.04      0.00     99.92
11:05:46        all      2.52      0.00      4.16      0.00      0.00     93.32
11:05:47        all      6.34      0.00     11.01      0.00      0.00     82.65
11:05:48        all      6.76      0.00     10.96      0.00      0.00     82.28
11:05:49        all      7.89      0.00     11.50      0.00      0.00     80.61
11:05:50        all      6.75      0.00     11.32      0.00      0.00     81.93
11:05:51        all      7.21      0.00     11.78      0.00      0.00     81.01
11:05:52        all      8.18      0.00     12.41      0.00      0.00     79.42
11:05:53        all      7.07      0.00     11.53      0.00      0.00     81.40
11:05:54        all      7.59      0.00     11.02      0.00      0.00     81.39
11:05:55        all      7.30      0.00     12.56      0.00      0.00     80.14
11:05:56        all      7.03      0.00     11.62      0.00      0.00     81.35
11:05:57        all      7.16      0.00     11.65      0.00      0.00     81.20
11:05:58        all      7.55      0.00     11.82      0.00      0.00     80.63
11:05:59        all      7.72      0.00     11.87      0.00      0.00     80.40
11:06:00        all      7.61      0.00     11.15      0.00      0.00     81.24
11:06:01        all      6.31      0.00     10.76      0.00      0.00     82.93
11:06:02        all      6.72      0.00     12.45      0.00      0.00     80.83
Average:        all      4.49      0.00      7.21      0.00      0.00     88.30
