procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 95750032  22580 814176    0    0    79  2949  673    0  0  0 100  0  0  0
 0  0      0 95748840  22588 814184    0    0     0    43  855  503  0  0 100  0  0  0
 0  0      0 95748600  22588 814196    0    0     0     0  615  359  0  0 100  0  0  0
 0  0      0 95747344  22588 814204    0    0     0     0  823  460  0  0 100  0  0  0
 0  0      0 95754200  22588 814368    0    0     0     0  432  306  0  0 100  0  0  0
 0  0      0 95754200  22588 814372    0    0     0     0  129  142  0  0 100  0  0  0
 0  0      0 95754200  22588 814408    0    0     0    58  185  238  0  0 100  0  0  0
 0  0      0 95753948  22592 814428    0    0     0    15  223  234  0  0 100  0  0  0
 0  0      0 95753948  22592 814444    0    0     0     0  312  146  0  0 100  0  0  0
 0  0      0 95753472  22592 814464    0    0     0     0  204  152  0  0 100  0  0  0
 0  0      0 95749016  22592 817008    0    0  2863     0 1175  349  0  0 100  0  0  0
 5  0      0 95746600  22592 817504    0    0     0     3 793234 182357  5  8 87  0  0  0
15  0      0 95745592  22596 817524    0    0     0    15 1088938 242850  6 11 83  0  0  0
15  0      0 95745112  22596 817548    0    0     0     0 1092606 243422  7 11 81  0  0  0
 1  0      0 95747136  22596 817568    0    0     0     0 1097007 246649  7 11 82  0  0  0
 6  0      0 95746640  22596 817584    0    0     0     0 1104461 248826  7 11 82  0  0  0
 5  0      0 95746388  22596 817608    0    0     0     0 1104570 251271  8 12 80  0  0  0
 8  0      0 95746384  22596 817636    0    0     0   228 1102569 250195  8 13 79  0  0  0
11  0      0 95745880  22596 817656    0    0     0     0 1104920 249991  7 11 82  0  0  0
 5  0      0 95745880  22596 817676    0    0     0     0 1105517 251581  7 11 82  0  0  0
 8  0      0 95745628  22596 817700    0    0     0     0 1102446 251403  7 13 80  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0      0 95745372  22596 817720    0    0     0     0 1101677 250581  7 12 81  0  0  0
10  0      0 95745364  22604 817740    0    0     0     8 1099698 250168  7 12 82  0  0  0
11  0      0 95745120  22604 817764    0    0     0     0 1103341 250167  8 11 81  0  0  0
 2  0      0 95745112  22604 817792    0    0     0     0 1101827 250317  8 12 80  0  0  0
 1  0      0 95743056  22604 817808    0    0     0     0 1096933 249202  8 11 81  0  0  0
