Linux 6.6.121-0-virt (ip-172-31-2-125) 	03/24/26 	_aarch64_	(48 CPU)

11:22:42      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
11:22:43            0       574      1.22      2.39      1.99         0
11:22:44            0       572      1.22      2.39      1.99         0
11:22:45            0       572      1.22      2.39      1.99         0
11:22:46            0       572      1.22      2.39      1.99         0
11:22:47           11       645      1.12      2.35      1.98         0
11:22:48           18       645      1.12      2.35      1.98         0
11:22:49           10       645      1.12      2.35      1.98         0
11:22:50           19       645      1.12      2.35      1.98         0
11:22:51           17       645      1.12      2.35      1.98         0
11:22:52           15       645      1.75      2.46      2.02         0
11:22:53           14       645      1.75      2.46      2.02         0
11:22:54            8       645      1.75      2.46      2.02         0
11:22:55           10       645      1.75      2.46      2.02         0
11:22:56           20       645      1.75      2.46      2.02         0
11:22:57           13       645      2.65      2.64      2.08         0
11:22:58           14       645      2.65      2.64      2.08         0
11:22:59            6       645      2.65      2.64      2.08         0
11:23:00           16       645      2.65      2.64      2.08         0
11:23:01           11       645      2.65      2.64      2.08         0
11:23:02           12       645      3.56      2.83      2.14         0
11:23:03           21       645      3.56      2.83      2.14         0
11:23:04           19       645      3.56      2.83      2.14         0
11:23:05           15       645      3.56      2.83      2.14         0
11:23:06           13       644      3.56      2.83      2.14         0
11:23:07           11       644      4.32      3.00      2.20         0
11:23:08           20       642      4.32      3.00      2.20         0
Average:           12       634      2.27      2.58      2.06         0
