Linux 6.6.121-0-virt (ip-172-31-2-125) 	03/24/26 	_aarch64_	(48 CPU)

11:22:41        CPU     %user     %nice   %system   %iowait    %steal     %idle
11:22:42        all      0.06      0.00      0.02      0.00      0.00     99.92
11:22:43        all      0.04      0.00      0.00      0.00      0.00     99.96
11:22:44        all      0.00      0.00      0.02      0.00      0.00     99.98
11:22:45        all      0.00      0.00      0.02      0.00      0.00     99.98
11:22:46        all      0.04      0.00      0.02      0.00      0.00     99.94
11:22:47        all      1.60      0.00     10.22      0.13      0.00     88.06
11:22:48        all      4.07      0.00     28.24      0.00      0.00     67.70
11:22:49        all      3.90      0.00     27.56      0.00      0.00     68.54
11:22:50        all      3.79      0.00     28.04      0.00      0.00     68.18
11:22:51        all      3.69      0.00     27.99      0.00      0.00     68.32
11:22:52        all      4.20      0.00     28.09      0.00      0.00     67.71
11:22:53        all      4.34      0.00     29.54      0.00      0.00     66.12
11:22:54        all      3.30      0.00     30.65      0.00      0.00     66.06
11:22:55        all      4.07      0.00     29.77      0.00      0.00     66.16
11:22:56        all      4.41      0.00     28.14      0.00      0.00     67.45
11:22:57        all      4.30      0.00     29.75      0.00      0.00     65.96
11:22:58        all      4.29      0.00     29.19      0.00      0.00     66.52
11:22:59        all      4.34      0.00     29.29      0.00      0.00     66.37
11:23:00        all      4.19      0.00     29.12      0.00      0.00     66.69
11:23:01        all      4.00      0.00     28.99      0.00      0.00     67.01
11:23:02        all      3.67      0.00     28.61      0.00      0.00     67.71
11:23:03        all      4.19      0.00     27.68      0.00      0.00     68.14
11:23:04        all      3.81      0.00     30.32      0.00      0.00     65.87
11:23:05        all      4.14      0.00     28.16      0.00      0.00     67.70
11:23:06        all      3.97      0.00     30.28      0.00      0.00     65.74
11:23:07        all      4.13      0.00     30.17      0.00      0.00     65.70
Average:        all      3.13      0.00     22.34      0.01      0.00     74.52
