procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 95922228  23644 790236    0    0    39  1444 275714   57  1  3 96  0  0  0
 0  0      0 95922480  23644 790248    0    0     0     0  763  433  0  0 100  0  0  0
 0  0      0 95921976  23644 790252    0    0     0     0  623  395  0  0 100  0  0  0
 0  0      0 95921740  23644 790260    0    0     0     0  492  277  0  0 100  0  0  0
 0  0      0 95921740  23644 790260    0    0     0     0  125  132  0  0 100  0  0  0
 0  0      0 95921740  23648 790260    0    0     0     9  203  212  0  0 100  0  0  0
 1  0      0 95899536  23664 790264    0    0     0   564 2162 3314  0  0 100  0  0  0
10  0      0 95875916  23664 790588    0    0     0    48 1394623 1358040  2 16 81  0  0  0
11  0      0 95868832  23664 790588    0    0     0     0 1609115 1576755  3 17 80  0  0  0
12  0      0 95866180  23664 790592    0    0     0     0 1624397 1594627  4 19 78  0  0  0
 4  0      0 95862620  23664 790592    0    0     0     0 1626203 1590333  3 17 80  0  0  0
10  0      0 95863336  23664 790592    0    0     0     0 1608152 1573507  4 19 77  0  0  0
 1  0      0 95869292  23664 790592    0    0     0    14 1619623 1586496  3 18 79  0  0  0
 6  0      0 95865984  23664 790596    0    0     0     0 1648831 1618627  3 16 81  0  0  0
 9  0      0 95863256  23664 790596    0    0     0     0 1607077 1574446  4 17 79  0  0  0
 9  0      0 95862752  23664 790600    0    0     0     0 1627234 1599850  3 17 80  0  0  0
11  0      0 95863976  23664 790600    0    0     0     0 1604943 1569493  4 18 78  0  0  0
 2  0      0 95859908  23664 790600    0    0     0     4 1590760 1550343  3 19 78  0  0  0
11  0      0 95856824  23664 790600    0    0     0     0 1633902 1601802  3 17 80  0  0  0
 6  0      0 95860928  23664 790600    0    0     0     0 1613672 1582428  4 18 79  0  0  0
 4  0      0 95870184  23664 790600    0    0     0     0 1643374 1614409  3 16 81  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0      0 95871876  23664 790600    0    0     0     0 1601722 1565598  4 18 78  0  0  0
 7  0      0 95869620  23664 790604    0    0     0     7 1615566 1580613  4 18 79  0  0  0
12  0      0 95866360  23664 790604    0    0     0     0 1617847 1580787  3 18 79  0  0  0
15  0      0 95863988  23664 790608    0    0     0     0 1633724 1603289  4 17 80  0  0  0
14  0      0 95861460  23664 790608    0    0     0     0 1589821 1551908  4 18 78  0  0  0
