Linux 6.6.121-0-virt (ip-172-31-2-125) 	03/24/26 	_aarch64_	(48 CPU)

11:18:29      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
11:18:30            0       578      1.37      2.87      1.94         0
11:18:31            0       576      1.26      2.82      1.93         0
11:18:32            0       576      1.26      2.82      1.93         0
11:18:33            0       576      1.26      2.82      1.93         0
11:18:34           18       649      1.26      2.82      1.93         0
11:18:35            9       649      1.26      2.82      1.93         0
11:18:36           11       649      1.80      2.90      1.96         0
11:18:37            8       649      1.80      2.90      1.96         0
11:18:38           13       649      1.80      2.90      1.96         0
11:18:39            2       648      1.80      2.90      1.96         0
11:18:40            4       648      1.80      2.90      1.96         0
11:18:41           10       648      2.38      3.01      2.00         0
11:18:42           14       648      2.38      3.01      2.00         0
11:18:43            9       648      2.38      3.01      2.00         0
11:18:44            6       648      2.38      3.01      2.00         0
11:18:45            2       648      2.38      3.01      2.00         0
11:18:46            6       648      2.19      2.95      1.99         0
11:18:47           11       648      2.19      2.95      1.99         0
11:18:48           13       648      2.19      2.95      1.99         0
11:18:49            2       648      2.19      2.95      1.99         0
11:18:50            9       648      2.19      2.95      1.99         0
11:18:51           12       648      2.81      3.07      2.03         0
11:18:52            7       648      2.81      3.07      2.03         0
11:18:53            0       647      2.81      3.07      2.03         0
11:18:54           12       647      2.81      3.07      2.03         0
11:18:55            5       645      2.81      3.07      2.03         0
Average:            7       637      2.06      2.95      1.98         0
