Linux 6.6.121-0-virt (ip-172-31-2-125) 	03/24/26 	_aarch64_	(48 CPU)

11:18:28        CPU     %user     %nice   %system   %iowait    %steal     %idle
11:18:29        all      0.10      0.00      0.00      0.00      0.00     99.90
11:18:30        all      0.04      0.00      0.02      0.00      0.00     99.94
11:18:31        all      0.02      0.00      0.00      0.00      0.00     99.98
11:18:32        all      0.00      0.00      0.00      0.00      0.00    100.00
11:18:33        all      0.04      0.00      0.02      0.02      0.00     99.92
11:18:34        all      1.69      0.00      9.95      0.13      0.00     88.23
11:18:35        all      3.73      0.00     21.44      0.00      0.00     74.84
11:18:36        all      3.41      0.00     15.78      0.00      0.00     80.81
11:18:37        all      3.39      0.00     18.04      0.00      0.00     78.57
11:18:38        all      3.41      0.00     18.01      0.00      0.00     78.58
11:18:39        all      3.07      0.00     18.39      0.02      0.00     78.52
11:18:40        all      3.21      0.00     18.54      0.00      0.00     78.25
11:18:41        all      3.40      0.00     17.31      0.00      0.00     79.29
11:18:42        all      3.18      0.00     15.47      0.00      0.00     81.35
11:18:43        all      3.15      0.00     17.92      0.00      0.00     78.93
11:18:44        all      3.34      0.00     17.36      0.00      0.00     79.30
11:18:45        all      3.01      0.00     17.49      0.00      0.00     79.50
11:18:46        all      3.09      0.00     17.83      0.00      0.00     79.08
11:18:47        all      3.24      0.00     17.73      0.00      0.00     79.03
11:18:48        all      3.11      0.00     16.65      0.00      0.00     80.24
11:18:49        all      3.41      0.00     17.90      0.00      0.00     78.70
11:18:50        all      2.88      0.00     16.55      0.00      0.00     80.57
11:18:51        all      3.09      0.00     17.76      0.00      0.00     79.15
11:18:52        all      3.59      0.00     18.46      0.00      0.00     77.95
11:18:53        all      3.55      0.00     18.12      0.00      0.00     78.32
11:18:54        all      3.34      0.00     18.60      0.00      0.00     78.06
Average:        all      2.56      0.00     13.88      0.01      0.00     83.55
