procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 95912520  23548 789888    0    0    42  1554 253109   52  1  3 96  0  0  0
 0  0      0 95911552  23548 789896    0    0     0     0  660  335  0  0 100  0  0  0
 0  0      0 95911312  23548 789900    0    0     0     0  570  355  0  0 100  0  0  0
 0  0      0 95910092  23548 789908    0    0     0     0  613  327  0  0 100  0  0  0
 0  0      0 95910344  23548 789908    0    0     0     0  249  314  0  0 100  0  0  0
 0  0      0 95910344  23548 789908    0    0     0     0  101  113  0  0 100  0  0  0
 0  1      0 95897080  23548 789908    0    0     0    10  776  960  0  0 100  0  0  0
 2  0      0 95858328  23572 790216    0    0     0   592 1329779 1310738  3 18 79  0  0  0
14  0      0 95856100  23572 790216    0    0     0     0 1591528 1582801  3 18 78  0  0  0
10  0      0 95853524  23572 790216    0    0     0     0 1615706 1606893  3 17 79  0  0  0
 8  0      0 95851228  23572 790220    0    0     0     0 1614451 1605652  3 19 78  0  0  0
14  0      0 95849732  23572 790220    0    0     0     0 1592944 1583725  3 17 80  0  0  0
 6  0      0 95847916  23572 790220    0    0     0    48 1646854 1644847  2 19 79  0  0  0
 6  0      0 95845824  23572 790224    0    0     0     0 1606457 1596792  4 19 78  0  0  0
21  0      0 95846480  23572 790224    0    0     0     0 1610613 1601684  3 17 80  0  0  0
 9  0      0 95846052  23572 790224    0    0     0     0 1658071 1644777  3 16 81  0  0  0
 5  0      0 95845124  23572 790228    0    0     0     0 1610628 1603244  3 17 80  0  0  0
 8  0      0 95845792  23576 790228    0    0     0    30 1601049 1590071  3 18 79  0  0  0
 2  0      0 95844600  23576 790228    0    0     0     0 1614944 1608388  3 17 79  0  0  0
 4  0      0 95844696  23576 790228    0    0     0     0 1630253 1622052  3 18 79  0  0  0
15  0      0 95841596  23576 790228    0    0     0     0 1634979 1629881  3 18 79  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
12  0      0 95841100  23576 790228    0    0     0     0 1629846 1622156  3 17 79  0  0  0
12  0      0 95841100  23576 790228    0    0     0     6 1581406 1566647  3 18 79  0  0  0
16  0      0 95839316  23576 790232    0    0     0     0 1644849 1639388  3 16 81  0  0  0
 3  0      0 95841928  23576 790232    0    0     0     0 1618102 1609931  3 19 78  0  0  0
17  0      0 95841652  23576 790232    0    0     0     0 1610146 1595668  4 17 79  0  0  0
