Linux 6.6.121-0-virt (ip-172-31-0-170) 	03/24/26 	_aarch64_	(48 CPU)

11:18:25      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
11:18:26            0       650      8.52      7.43      3.94         0
11:18:27            0       652      8.52      7.43      3.94         0
11:18:28            0       649      8.52      7.43      3.94         0
11:18:29            0       649      8.52      7.43      3.94         0
11:18:30            0       649      7.83      7.31      3.92         0
11:18:31            0       649      7.83      7.31      3.92         0
11:18:32            0       649      7.83      7.31      3.92         0
11:18:33            0       654      7.83      7.31      3.92         0
11:18:34            3       652      7.83      7.31      3.92         0
11:18:35            9       652      7.53      7.25      3.92         0
11:18:36           17       652      7.53      7.25      3.92         0
11:18:37           10       652      7.53      7.25      3.92         0
11:18:38            6       652      7.53      7.25      3.92         0
11:18:39            6       652      7.53      7.25      3.92         0
11:18:40           10       652      8.13      7.38      3.98         0
11:18:41           14       652      8.13      7.38      3.98         0
11:18:42            5       652      8.13      7.38      3.98         0
11:18:43            1       652      8.13      7.38      3.98         0
11:18:44           13       652      8.13      7.38      3.98         0
11:18:45            9       652      7.56      7.28      3.96         0
11:18:46            9       652      7.56      7.28      3.96         0
11:18:47            6       652      7.56      7.28      3.96         0
11:18:48           10       652      7.56      7.28      3.96         0
11:18:49            6       651      7.56      7.28      3.96         0
11:18:50            1       652      7.03      7.17      3.94         0
11:18:51           13       650      7.03      7.17      3.94         0
Average:            6       651      7.82      7.31      3.94         0
