Linux 6.6.121-0-virt (ip-172-31-2-125) 	03/24/26 	_aarch64_	(48 CPU)

11:23:45      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
11:23:46            0       569      2.41      2.66      2.12         0
11:23:47            0       567      2.21      2.62      2.11         0
11:23:48            0       567      2.21      2.62      2.11         0
11:23:49            0       567      2.21      2.62      2.11         0
11:23:50            5       634      2.21      2.62      2.11         0
11:23:51           15       634      2.21      2.62      2.11         0
11:23:52           15       634      3.16      2.81      2.17         0
11:23:53           17       634      3.16      2.81      2.17         0
11:23:54           13       634      3.16      2.81      2.17         0
11:23:55           12       634      3.16      2.81      2.17         0
11:23:56           13       634      3.16      2.81      2.17         0
11:23:57           20       634      4.27      3.04      2.25         0
11:23:58           14       634      4.27      3.04      2.25         0
11:23:59           13       634      4.27      3.04      2.25         0
11:24:00            6       634      4.27      3.04      2.25         0
11:24:01           25       634      4.27      3.04      2.25         0
11:24:02           11       634      5.29      3.27      2.33         0
11:24:03           17       634      5.29      3.27      2.33         0
11:24:04           21       634      5.29      3.27      2.33         0
11:24:05           15       634      5.29      3.27      2.33         0
11:24:06           14       634      5.29      3.27      2.33         0
11:24:07           17       634      6.46      3.55      2.43         0
11:24:08           10       634      6.46      3.55      2.43         0
11:24:09           17       633      6.46      3.55      2.43         0
11:24:10            9       633      6.46      3.55      2.43         0
11:24:11           10       631      6.46      3.55      2.43         0
Average:           12       624      4.21      3.04      2.25         0
