Linux 6.6.121-0-virt (ip-172-31-0-170) 	03/24/26 	_aarch64_	(48 CPU)

11:23:40        CPU     %user     %nice   %system   %iowait    %steal     %idle
11:23:41        all      0.04      0.00      0.04      0.00      0.00     99.92
11:23:42        all      0.08      0.00      0.00      0.00      0.00     99.92
11:23:43        all      0.06      0.00      0.00      0.00      0.00     99.94
11:23:44        all      0.00      0.00      0.00      0.00      0.00    100.00
11:23:45        all      0.00      0.00      0.00      0.00      0.00    100.00
11:23:46        all      0.00      0.00      0.00      0.00      0.00    100.00
11:23:47        all      0.00      0.00      0.00      0.00      0.00    100.00
11:23:48        all      0.00      0.00      0.00      0.00      0.00    100.00
11:23:49        all      0.08      0.00      0.00      0.00      0.00     99.92
11:23:50        all     17.01      0.00      9.69      0.00      0.00     73.30
11:23:51        all     39.95      0.00     22.83      0.00      0.00     37.22
11:23:52        all     38.97      0.00     23.81      0.00      0.00     37.22
11:23:53        all     40.82      0.00     23.61      0.00      0.00     35.58
11:23:54        all     40.03      0.00     23.49      0.00      0.00     36.49
11:23:55        all     39.64      0.00     23.37      0.00      0.00     36.99
11:23:56        all     39.68      0.00     23.99      0.00      0.00     36.33
11:23:57        all     39.50      0.00     23.20      0.00      0.00     37.30
11:23:58        all     39.15      0.00     23.78      0.00      0.00     37.07
11:23:59        all     39.17      0.00     22.97      0.00      0.00     37.85
11:24:00        all     39.44      0.00     23.20      0.00      0.00     37.36
11:24:01        all     41.74      0.00     21.61      0.00      0.00     36.66
11:24:02        all     38.91      0.00     24.23      0.00      0.00     36.86
11:24:03        all     39.84      0.00     23.57      0.00      0.00     36.59
11:24:04        all     38.93      0.00     23.89      0.00      0.00     37.18
11:24:05        all     38.65      0.00     24.36      0.00      0.00     36.99
11:24:06        all     39.73      0.00     23.48      0.00      0.00     36.80
Average:        all     24.82      0.00     14.67      0.00      0.00     60.51
