Linux 6.6.121-0-virt (ip-172-31-2-125) 	03/24/26 	_aarch64_	(48 CPU)

11:21:38        CPU     %user     %nice   %system   %iowait    %steal     %idle
11:21:39        all      0.08      0.00      0.02      0.00      0.00     99.90
11:21:40        all      0.04      0.00      0.00      0.00      0.00     99.96
11:21:41        all      0.00      0.00      0.00      0.00      0.00    100.00
11:21:42        all      0.00      0.00      0.00      0.00      0.00    100.00
11:21:43        all      0.04      0.00      0.00      0.00      0.00     99.96
11:21:44        all      1.23      0.00      7.51      0.13      0.00     91.13
11:21:45        all      3.25      0.00     16.23      0.00      0.00     80.52
11:21:46        all      2.61      0.00     16.36      0.00      0.00     81.03
11:21:47        all      3.83      0.00     15.97      0.00      0.00     80.20
11:21:48        all      3.47      0.00     15.18      0.00      0.00     81.36
11:21:49        all      3.11      0.00     17.40      0.02      0.00     79.47
11:21:50        all      3.02      0.00     16.71      0.00      0.00     80.27
11:21:51        all      3.50      0.00     16.16      0.00      0.00     80.34
11:21:52        all      2.78      0.00     17.57      0.00      0.00     79.64
11:21:53        all      3.31      0.00     17.43      0.00      0.00     79.26
11:21:54        all      3.92      0.00     16.39      0.00      0.00     79.70
11:21:55        all      3.85      0.00     17.44      0.00      0.00     78.72
11:21:56        all      4.41      0.00     19.16      0.00      0.00     76.43
11:21:57        all      3.41      0.00     17.64      0.00      0.00     78.95
11:21:58        all      3.91      0.00     19.21      0.00      0.00     76.88
11:21:59        all      3.48      0.00     19.25      0.00      0.00     77.27
11:22:00        all      3.58      0.00     18.24      0.00      0.00     78.18
11:22:01        all      3.83      0.00     17.03      0.00      0.00     79.15
11:22:02        all      3.53      0.00     18.72      0.00      0.00     77.75
11:22:03        all      4.06      0.00     17.28      0.00      0.00     78.66
11:22:04        all      3.89      0.00     18.22      0.00      0.00     77.89
Average:        all      2.74      0.00     13.49      0.01      0.00     83.76
