Linux 6.6.121-0-virt (ip-172-31-2-125) 	03/24/26 	_aarch64_	(48 CPU)

11:19:32      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
11:19:33            0       575      1.58      2.73      1.96         0
11:19:34            0       574      1.58      2.73      1.96         0
11:19:35            0       573      1.58      2.73      1.96         0
11:19:36            0       573      1.45      2.68      1.95         0
11:19:37            2       644      1.45      2.68      1.95         0
11:19:38            8       644      1.45      2.68      1.95         0
11:19:39            5       644      1.45      2.68      1.95         0
11:19:40           15       644      1.45      2.68      1.95         0
11:19:41           12       644      2.13      2.81      1.99         0
11:19:42           18       644      2.13      2.81      1.99         0
11:19:43            5       644      2.13      2.81      1.99         0
11:19:44           19       644      2.13      2.81      1.99         0
11:19:45            6       644      2.13      2.81      1.99         0
11:19:46           11       644      1.96      2.76      1.98         0
11:19:47           16       644      1.96      2.76      1.98         0
11:19:48           17       644      1.96      2.76      1.98         0
11:19:49           12       644      1.96      2.76      1.98         0
11:19:50           12       644      1.96      2.76      1.98         0
11:19:51            9       644      3.09      2.98      2.06         0
11:19:52            5       644      3.09      2.98      2.06         0
11:19:53            4       644      3.09      2.98      2.06         0
11:19:54            2       644      3.09      2.98      2.06         0
11:19:55           12       644      3.09      2.98      2.06         0
11:19:56            3       643      2.84      2.93      2.05         0
11:19:57            0       643      2.84      2.93      2.05         0
11:19:58           14       641      2.84      2.93      2.05         0
Average:            8       633      2.17      2.81      2.00         0
