Linux 6.6.121-0-virt (ip-172-31-2-125) 	03/24/26 	_aarch64_	(48 CPU)

11:19:32        CPU     %user     %nice   %system   %iowait    %steal     %idle
11:19:33        all      0.06      0.00      0.00      0.00      0.00     99.94
11:19:34        all      0.02      0.00      0.04      0.00      0.00     99.94
11:19:35        all      0.00      0.00      0.00      0.00      0.00    100.00
11:19:36        all      0.00      0.00      0.00      0.00      0.00    100.00
11:19:37        all      0.02      0.00      0.00      0.00      0.00     99.98
11:19:38        all      1.44      0.00      8.58      0.09      0.00     89.89
11:19:39        all      2.86      0.00     15.40      0.00      0.00     81.74
11:19:40        all      2.71      0.00     15.10      0.00      0.00     82.19
11:19:41        all      3.10      0.00     15.95      0.00      0.00     80.95
11:19:42        all      3.07      0.00     16.50      0.00      0.00     80.43
11:19:43        all      3.31      0.00     17.63      0.00      0.00     79.06
11:19:44        all      3.42      0.00     16.84      0.00      0.00     79.74
11:19:45        all      3.17      0.00     16.35      0.00      0.00     80.48
11:19:46        all      3.36      0.00     16.67      0.00      0.00     79.97
11:19:47        all      3.33      0.00     18.25      0.00      0.00     78.42
11:19:48        all      3.23      0.00     18.69      0.00      0.00     78.08
11:19:49        all      3.71      0.00     17.78      0.00      0.00     78.51
11:19:50        all      3.40      0.00     17.27      0.00      0.00     79.33
11:19:51        all      3.35      0.00     16.57      0.00      0.00     80.08
11:19:52        all      3.29      0.00     18.54      0.00      0.00     78.17
11:19:53        all      2.61      0.00     15.14      0.00      0.00     82.24
11:19:54        all      3.52      0.00     16.81      0.00      0.00     79.68
11:19:55        all      3.53      0.00     17.01      0.00      0.00     79.47
11:19:56        all      3.66      0.00     19.94      0.00      0.00     76.40
11:19:57        all      3.23      0.00     16.57      0.00      0.00     80.21
11:19:58        all      3.55      0.00     16.69      0.00      0.00     79.75
Average:        all      2.55      0.00     13.25      0.00      0.00     84.20
