procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 95914732  23600 790068    0    0    40  1497 264559   54  1  3 96  0  0  0
 0  0      0 95914508  23600 790076    0    0     0     0  729  424  0  0 100  0  0  0
 0  0      0 95914508  23600 790080    0    0     0     0  635  387  0  0 100  0  0  0
 0  0      0 95917536  23600 790084    0    0     0     0  508  297  0  0 100  0  0  0
 0  0      0 95917304  23600 790088    0    0     0     0  132  160  0  0 100  0  0  0
 0  0      0 95917304  23600 790088    0    0     0     0  202  229  0  0 100  0  0  0
 0  0      0 95887472  23628 790060    0    0     0   577 2389 3702  0  0 100  0  0  0
10  0      0 95863660  23632 790380    0    0     0    42 1500605 1486307  2 14 84  0  0  0
 8  0      0 95862128  23632 790380    0    0     0     0 1657522 1651695  3 16 81  0  0  0
13  0      0 95856676  23632 790384    0    0     0     0 1679243 1672540  3 15 82  0  0  0
 2  0      0 95853040  23632 790384    0    0     0     0 1667617 1655411  3 16 81  0  0  0
15  0      0 95851276  23632 790384    0    0     0     0 1642661 1619707  4 17 79  0  0  0
10  0      0 95849840  23636 790388    0    0     0    13 1657543 1637864  3 17 79  0  0  0
 5  0      0 95849084  23636 790388    0    0     0     0 1681914 1664002  3 17 80  0  0  0
 9  0      0 95847612  23636 790392    0    0     0     0 1667558 1655785  3 17 80  0  0  0
 9  0      0 95845544  23636 790392    0    0     0     0 1678852 1665500  3 18 80  0  0  0
15  0      0 95844496  23636 790396    0    0     0     0 1639701 1621189  3 18 79  0  0  0
 0  0      0 95844496  23636 790396    0    0     0     4 1636876 1619476  4 19 77  0  0  0
14  0      0 95845308  23636 790396    0    0     0     0 1652839 1637577  3 17 80  0  0  0
 8  0      0 95843376  23636 790396    0    0     0     0 1642877 1625779  4 17 79  0  0  0
 4  0      0 95843728  23636 790396    0    0     0     0 1685006 1669228  3 17 80  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
15  0      0 95842924  23636 790396    0    0     0     0 1663798 1646977  3 18 79  0  0  0
 9  0      0 95842492  23636 790396    0    0     0     4 1666820 1649664  3 15 82  0  0  0
12  0      0 95844280  23636 790400    0    0     0     0 1692175 1678204  3 16 81  0  0  0
 8  0      0 95842884  23636 790400    0    0     0     0 1640961 1625059  4 19 77  0  0  0
22  0      0 95842404  23636 790404    0    0     0     0 1618182 1598339  3 19 78  0  0  0
