Linux 6.6.121-0-virt (ip-172-31-0-170) 	03/24/26 	_aarch64_	(48 CPU)

11:29:04      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
11:29:05            0       645      4.02      5.32      4.48         0
11:29:06            0       646      3.69      5.23      4.45         0
11:29:07            0       645      3.69      5.23      4.45         0
11:29:08            0       644      3.69      5.23      4.45         0
11:29:09            0       644      3.69      5.23      4.45         0
11:29:10            0       644      3.69      5.23      4.45         0
11:29:11            0       644      3.40      5.14      4.43         0
11:29:12            0       647      3.40      5.14      4.43         0
11:29:13           22       647      3.40      5.14      4.43         0
11:29:14           23       647      3.40      5.14      4.43         0
11:29:15           29       647      3.40      5.14      4.43         0
11:29:16           31       647      5.45      5.54      4.56         0
11:29:17           37       647      5.45      5.54      4.56         0
11:29:18           21       647      5.45      5.54      4.56         0
11:29:19           33       647      5.45      5.54      4.56         0
11:29:20           29       647      5.45      5.54      4.56         0
11:29:21           31       647      6.45      5.74      4.63         0
11:29:22           27       647      6.45      5.74      4.63         0
11:29:23           30       647      6.45      5.74      4.63         0
11:29:24           27       647      6.45      5.74      4.63         0
11:29:25           29       647      6.45      5.74      4.63         0
11:29:26           30       647      8.90      6.26      4.81         0
11:29:27           31       647      8.90      6.26      4.81         0
11:29:28           32       646      8.90      6.26      4.81         0
11:29:29           29       648      8.90      6.26      4.81         0
11:29:30           30       646      8.90      6.26      4.81         0
Average:           20       646      5.52      5.57      4.57         0
