procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 95725856  23752 824316    0    0    31  1142 233217   10  5  3 92  0  0  0
 0  0      0 95725664  23756 824320    0    0     0    18  753  468  0  0 100  0  0  0
 0  0      0 95725172  23756 824328    0    0     0     0  623  449  0  0 100  0  0  0
 0  0      0 95724920  23756 824340    0    0     0     0  699  369  0  0 100  0  0  0
 0  0      0 95726624  23756 824344    0    0     0     0  451  366  0  0 100  0  0  0
 0  0      0 95726624  23756 824360    0    0     0     0  129  142  0  0 100  0  0  0
 0  0      0 95726624  23756 824380    0    0     0    11  123  138  0  0 100  0  0  0
 0  0      0 95726624  23756 824400    0    0     0     0  102  116  0  0 100  0  0  0
 0  0      0 95726624  23756 824416    0    0     0     0  199  219  0  0 100  0  0  0
 0  0      0 95726400  23756 824440    0    0     0     0  243  189  0  0 100  0  0  0
 0  0      0 95722120  23756 824460    0    0     0     0 1100  282  0  0 100  0  0  0
34  0      0 95713008  23756 824504    0    0     0    10 1070363 228991 36 20 44  0  0  0
31  0      0 95716648  23756 824504    0    0     0     0 1195761 254934 40 23 37  0  0  0
26  0      0 95715440  23756 824548    0    0     0     0 1203583 254276 40 24 36  0  0  0
37  0      0 95711740  23756 824568    0    0     0     0 1194800 254889 39 25 36  0  0  0
27  0      0 95707912  23756 824584    0    0     0     0 1195165 251648 39 23 37  0  0  0
29  0      0 95705752  23756 824588    0    0     0     0 1180331 254644 39 24 36  0  0  0
34  0      0 95713016  23756 824628    0    0     0     5 1186700 252971 39 23 39  0  0  0
31  0      0 95701320  23756 824660    0    0     0     0 1189178 254078 40 23 38  0  0  0
 8  0      0 95704252  23756 824660    0    0     0     0 1201592 254443 39 24 37  0  0  0
27  0      0 95707460  23756 824700    0    0     0     0 1203962 254412 39 24 37  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
11  0      0 95699436  23756 824724    0    0     0     0 1201963 254705 39 25 36  0  0  0
36  0      0 95698992  23756 824744    0    0     0     5 1204669 253237 39 24 37  0  0  0
28  0      0 95691056  23756 824764    0    0     0     0 1200068 256195 37 25 38  0  0  0
33  0      0 95698040  23756 824764    0    0     0     0 1199443 254757 40 23 37  0  0  0
31  0      0 95692380  23756 824804    0    0     0     0 1184869 252913 40 23 37  0  0  0
