Linux 6.6.121-0-virt (ip-172-31-0-170) 	03/24/26 	_aarch64_	(48 CPU)

11:26:59        CPU     %user     %nice   %system   %iowait    %steal     %idle
11:27:00        all      0.08      0.00      0.00      0.00      0.00     99.92
11:27:01        all      0.04      0.00      0.02      0.00      0.00     99.94
11:27:02        all      0.04      0.00      0.00      0.00      0.00     99.96
11:27:03        all      0.00      0.00      0.00      0.00      0.00    100.00
11:27:04        all      0.00      0.00      0.00      0.00      0.00    100.00
11:27:05        all      0.00      0.00      0.00      0.00      0.00    100.00
11:27:06        all      0.00      0.00      0.00      0.00      0.00    100.00
11:27:07        all      0.00      0.00      0.00      0.00      0.00    100.00
11:27:08        all      0.06      0.00      0.00      0.00      0.00     99.94
11:27:09        all      6.26      0.00      6.56      0.00      0.00     87.19
11:27:10        all     11.69      0.00     12.54      0.00      0.00     75.77
11:27:11        all     13.07      0.00     12.32      0.00      0.00     74.61
11:27:12        all     13.26      0.00     11.45      0.00      0.00     75.29
11:27:13        all     11.14      0.00     11.61      0.00      0.00     77.25
11:27:14        all     12.44      0.00     12.85      0.00      0.00     74.71
11:27:15        all     13.19      0.00     11.93      0.00      0.00     74.88
11:27:16        all     12.53      0.00     12.26      0.00      0.00     75.21
11:27:17        all     12.98      0.00     12.87      0.00      0.00     74.15
11:27:18        all     12.17      0.00     11.61      0.00      0.00     76.22
11:27:19        all     13.53      0.00     11.96      0.00      0.00     74.51
11:27:20        all     11.49      0.00     11.09      0.00      0.00     77.42
11:27:21        all     13.66      0.00     11.40      0.00      0.00     74.93
11:27:22        all     13.51      0.00     11.28      0.00      0.00     75.21
11:27:23        all     12.73      0.00     12.11      0.00      0.00     75.16
11:27:24        all     13.24      0.00     11.72      0.00      0.00     75.05
11:27:25        all     12.86      0.00     11.85      0.00      0.00     75.30
Average:        all      7.99      0.00      7.51      0.00      0.00     84.49
