Linux 6.6.121-0-virt (ip-172-31-0-170) 	03/24/26 	_aarch64_	(48 CPU)

11:24:54        CPU     %user     %nice   %system   %iowait    %steal     %idle
11:24:55        all      0.08      0.00      0.00      0.00      0.00     99.92
11:24:56        all      0.08      0.00      0.02      0.00      0.00     99.90
11:24:57        all      0.02      0.00      0.00      0.00      0.00     99.98
11:24:58        all      0.00      0.00      0.02      0.00      0.00     99.98
11:24:59        all      0.00      0.00      0.00      0.00      0.00    100.00
11:25:00        all      0.00      0.00      0.00      0.00      0.00    100.00
11:25:01        all      0.00      0.00      0.00      0.00      0.00    100.00
11:25:02        all      0.00      0.00      0.00      0.00      0.00    100.00
11:25:03        all      0.08      0.00      0.00      0.00      0.00     99.92
11:25:04        all      4.63      0.00      6.71      0.00      0.00     88.66
11:25:05        all      7.40      0.00      9.99      0.00      0.00     82.62
11:25:06        all      7.71      0.00     11.27      0.00      0.00     81.02
11:25:07        all      7.78      0.00     10.67      0.00      0.00     81.54
11:25:08        all      8.03      0.00     11.41      0.00      0.00     80.56
11:25:09        all      8.32      0.00     10.39      0.00      0.00     81.29
11:25:10        all      7.86      0.00     11.83      0.02      0.00     80.30
11:25:11        all      7.98      0.00     12.52      0.00      0.00     79.50
11:25:12        all      8.10      0.00     12.97      0.00      0.00     78.93
11:25:13        all      8.52      0.00     12.07      0.00      0.00     79.41
11:25:14        all      8.46      0.00     12.56      0.00      0.00     78.98
11:25:15        all      7.33      0.00     11.27      0.00      0.00     81.39
11:25:16        all      8.13      0.00     12.27      0.00      0.00     79.60
11:25:17        all      8.06      0.00     11.76      0.00      0.00     80.18
11:25:18        all      8.68      0.00     11.37      0.00      0.00     79.96
11:25:19        all      7.46      0.00     10.49      0.00      0.00     82.05
11:25:20        all      8.20      0.00     12.46      0.00      0.00     79.33
Average:        all      5.06      0.00      7.31      0.00      0.00     87.63
