procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 95711456  23680 823604    0    0    35  1279 213732    9  5  3 92  0  0  0
 0  0      0 95712672  23680 823612    0    0     0    19  863  566  0  0 100  0  0  0
 0  0      0 95712184  23680 823616    0    0     0     0  599  443  0  0 100  0  0  0
 0  0      0 95711932  23680 823624    0    0     0     0  721  415  0  0 100  0  0  0
 0  0      0 95711708  23680 823788    0    0     0     0  371  246  0  0 100  0  0  0
 0  0      0 95711708  23680 823788    0    0     0     0  220  222  0  0 100  0  0  0
 0  0      0 95711708  23680 823824    0    0     0    11  122  127  0  0 100  0  0  0
 0  0      0 95711708  23680 823844    0    0     0     0  110  122  0  0 100  0  0  0
 0  0      0 95711708  23680 823860    0    0     0     0  135  182  0  0 100  0  0  0
 0  0      0 95711456  23680 823880    0    0     0     0  344  267  0  0 100  0  0  0
 0  0      0 95708688  23680 823948    0    0     0     0 1109  264  0  0 100  0  0  0
 8  0      0 95706400  23680 824020    0    0     0     9 1017232 245885  7 10 83  0  0  0
18  0      0 95704632  23680 824040    0    0     0     0 1119223 261396  8 10 82  0  0  0
 1  0      0 95706944  23680 824064    0    0     0     0 1121108 264683  8 11 81  0  0  0
17  0      0 95704928  23680 824088    0    0     0     0 1122021 264568  8 11 81  0  0  0
 7  0      0 95708520  23680 824104    0    0     0     0 1117490 262465  8 11 81  0  0  0
11  0      0 95706816  23680 824128    0    0     0     0 1115401 261847  8 11 81  0  0  0
 6  0      0 95706320  23680 824128    0    0     0     5 1116634 263916  8 12 80  0  0  0
 7  0      0 95705556  23680 824164    0    0     0     0 1117106 261041  8 13 79  0  0  0
 2  0      0 95704556  23680 824188    0    0     0     0 1118232 263248  8 13 79  0  0  0
21  0      0 95704552  23680 824208    0    0     0     0 1114680 263255  9 12 79  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
11  0      0 95704548  23680 824232    0    0     0     0 1115387 262892  7 12 81  0  0  0
15  0      0 95707232  23680 824248    0    0     0     5 1119874 262655  8 12 80  0  0  0
 8  0      0 95706980  23680 824276    0    0     0     0 1122794 261069  8 12 80  0  0  0
 4  0      0 95709824  23680 824296    0    0     0     0 1117164 260607  8 12 80  0  0  0
 4  0      0 95709308  23680 824320    0    0     0     0 1118059 263094  8 11 81  0  0  0
