procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 95912248  24000 791148    0    0    29  1094 344754   71  1  4 95  0  0  0
 0  0      0 95911756  24000 791160    0    0     0     0  990  439  0  0 100  0  0  0
 0  0      0 95911756  24000 791164    0    0     0     0  496  307  0  0 100  0  0  0
 0  0      0 95911756  24000 791168    0    0     0     0  515  355  0  0 100  0  0  0
 0  0      0 95911756  24000 791172    0    0     0     0  238  160  0  0 100  0  0  0
 0  0      0 95911756  24000 791172    0    0     0     0  233  246  0  0 100  0  0  0
 0  0      0 95911756  24004 791172    0    0     0     9  115  123  0  0 100  0  0  0
14  0      0 95876132  24032 791380    0    0     0   599 358646 322129  1  5 94  0  0  0
20  0      0 95874484  24032 791380    0    0     0     0 1648440 1661740  4 28 68  0  0  0
16  0      0 95873376  24032 791380    0    0     0     0 1554798 1558908  5 30 66  0  0  0
10  0      0 95871540  24032 791384    0    0     0     0 1562879 1570278  5 29 67  0  0  0
18  0      0 95871952  24032 791384    0    0     0     0 1564606 1568964  4 29 67  0  0  0
15  0      0 95871580  24032 791384    0    0     0     0 1576543 1577545  4 30 65  0  0  0
16  0      0 95870696  24032 791384    0    0     0    15 1557862 1567248  4 29 67  0  0  0
19  0      0 95871468  24032 791384    0    0     0     0 1529737 1522456  4 30 65  0  0  0
11  0      0 95869136  24032 791388    0    0     0     0 1575725 1579121  4 30 66  0  0  0
21  0      0 95869372  24032 791388    0    0     0     0 1573847 1578659  4 29 67  0  0  0
15  0      0 95869464  24032 791392    0    0     0    47 1589471 1593316  4 29 68  0  0  0
18  0      0 95869356  24036 791392    0    0     0    10 1554392 1554383  5 29 66  0  0  0
 6  0      0 95868240  24036 791392    0    0     0     0 1564583 1567039  4 29 66  0  0  0
14  0      0 95867092  24036 791392    0    0     0     0 1586249 1594024  4 29 67  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 7  0      0 95867376  24036 791392    0    0     0     0 1565048 1572743  5 29 66  0  0  0
14  0      0 95867616  24036 791392    0    0     0     0 1570738 1577373  4 29 67  0  0  0
13  0      0 95868008  24036 791396    0    0     0     5 1550364 1552118  5 29 66  0  0  0
 7  0      0 95866348  24036 791396    0    0     0     0 1543000 1545870  4 30 66  0  0  0
10  0      0 95865368  24036 791400    0    0     0     0 1541965 1547188  4 30 65  0  0  0
