procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 95841900  23780 824420    0    0    30  1112 238238   11  5  3 92  0  0  0
 1  0      0 95840724  23780 824428    0    0     0    17  766  581  0  0 100  0  0  0
 0  0      0 95840484  23780 824432    0    0     0     0  529  320  0  0 100  0  0  0
 0  0      0 95840736  23780 824436    0    0     0     0  647  370  0  0 100  0  0  0
 0  0      0 95840260  23780 824540    0    0     0     0  494  279  0  0 100  0  0  0
 0  0      0 95840260  23780 824544    0    0     0     0  235  230  0  0 100  0  0  0
 0  0      0 95840260  23780 824580    0    0     0    11  171  221  0  0 100  0  0  0
 0  0      0 95840260  23780 824600    0    0     0     0  111  124  0  0 100  0  0  0
 0  0      0 95840260  23780 824616    0    0     0     0  114  129  0  0 100  0  0  0
 0  0      0 95840260  23780 824636    0    0     0     0  212  238  0  0 100  0  0  0
 0  0      0 95840260  23780 824660    0    0     0     0  280  199  0  0 100  0  0  0
 0  0      0 95837272  23780 824672    0    0     0    10 1073  281  0  0 100  0  0  0
38  0      0 95823748  23780 824756    0    0     0     0 944283 214139 30 18 53  0  0  0
31  0      0 95834052  23780 824780    0    0     0     0 1209258 267649 41 23 37  0  0  0
31  0      0 95821676  23780 824800    0    0     0     0 1217710 269000 40 23 37  0  0  0
30  0      0 95819256  23780 824816    0    0     0     0 1213414 268420 38 25 38  0  0  0
21  0      0 95820760  23780 824840    0    0     0     0 1219431 268748 39 24 37  0  0  0
41  0      0 95826516  23780 824860    0    0     0     5 1223778 269247 40 24 36  0  0  0
26  0      0 95829172  23780 824876    0    0     0     0 1214255 265523 39 23 38  0  0  0
23  0      0 95825180  23780 824896    0    0     0     0 1211081 267068 39 23 38  0  0  0
36  0      0 95824420  23780 824920    0    0     0     0 1211539 267148 40 23 38  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
39  0      0 95834508  23780 824940    0    0     0     0 1213785 268201 41 23 37  0  0  0
25  0      0 95826104  23780 824960    0    0     0     5 1208486 267846 40 24 36  0  0  0
26  0      0 95819148  23780 824988    0    0     0     0 1214278 269377 38 25 37  0  0  0
27  0      0 95822288  23780 825008    0    0     0     0 1211260 267778 40 23 38  0  0  0
24  0      0 95826352  23780 825012    0    0     0     0 1204899 269267 39 24 37  0  0  0
