Linux 6.6.121-0-virt (ip-172-31-0-170) 	03/24/26 	_aarch64_	(48 CPU)

11:28:02      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
11:28:03            0       647      4.10      5.49      4.47         0
11:28:04            0       649      4.10      5.49      4.47         0
11:28:05            0       646      4.10      5.49      4.47         0
11:28:06            0       646      3.78      5.40      4.44         0
11:28:07            0       646      3.78      5.40      4.44         0
11:28:08            0       646      3.78      5.40      4.44         0
11:28:09            0       646      3.78      5.40      4.44         0
11:28:10            0       649      3.78      5.40      4.44         0
11:28:11           10       649      3.47      5.31      4.42         0
11:28:12            5       649      3.47      5.31      4.42         0
11:28:13            9       649      3.47      5.31      4.42         0
11:28:14           14       649      3.47      5.31      4.42         0
11:28:15           16       649      3.47      5.31      4.42         0
11:28:16           13       649      3.35      5.25      4.41         0
11:28:17            9       649      3.35      5.25      4.41         0
11:28:18           12       649      3.35      5.25      4.41         0
11:28:19           16       649      3.35      5.25      4.41         0
11:28:20           11       649      3.35      5.25      4.41         0
11:28:21            6       649      4.85      5.53      4.50         0
11:28:22            2       649      4.85      5.53      4.50         0
11:28:23           12       649      4.85      5.53      4.50         0
11:28:24           12       649      4.85      5.53      4.50         0
11:28:25           12       649      4.85      5.53      4.50         0
11:28:26           10       648      5.42      5.64      4.54         0
11:28:27            4       649      5.42      5.64      4.54         0
11:28:28           11       647      5.42      5.64      4.54         0
Average:            7       648      4.07      5.42      4.46         0
