Linux 6.6.121-0-virt (ip-172-31-0-170) 	03/24/26 	_aarch64_	(48 CPU)

11:25:57      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
11:25:58            0       650      4.94      6.11      4.49         0
11:25:59            0       652      4.94      6.11      4.49         0
11:26:00            0       649      4.54      6.01      4.47         0
11:26:01            0       649      4.54      6.01      4.47         0
11:26:02            0       649      4.54      6.01      4.47         0
11:26:03            0       649      4.54      6.01      4.47         0
11:26:04            0       649      4.54      6.01      4.47         0
11:26:05            0       652      4.18      5.91      4.44         0
11:26:06            6       652      4.18      5.91      4.44         0
11:26:07           16       652      4.18      5.91      4.44         0
11:26:08           17       652      4.18      5.91      4.44         0
11:26:09            2       652      4.18      5.91      4.44         0
11:26:10           11       652      4.25      5.90      4.45         0
11:26:11            9       652      4.25      5.90      4.45         0
11:26:12           11       652      4.25      5.90      4.45         0
11:26:13            1       652      4.25      5.90      4.45         0
11:26:14            2       652      4.25      5.90      4.45         0
11:26:15           16       652      5.19      6.06      4.51         0
11:26:16           13       652      5.19      6.06      4.51         0
11:26:17           15       652      5.19      6.06      4.51         0
11:26:18            9       652      5.19      6.06      4.51         0
11:26:19           12       652      5.19      6.06      4.51         0
11:26:20            2       652      5.41      6.10      4.53         0
11:26:21            7       651      5.41      6.10      4.53         0
11:26:22           11       651      5.41      6.10      4.53         0
11:26:23            8       649      5.41      6.10      4.53         0
Average:            6       651      4.70      6.00      4.48         0
