Linux 6.6.121-0-virt (ip-172-31-0-170) 	03/24/26 	_aarch64_	(48 CPU)

11:25:57        CPU     %user     %nice   %system   %iowait    %steal     %idle
11:25:58        all      0.06      0.00      0.00      0.00      0.00     99.94
11:25:59        all      0.04      0.00      0.02      0.00      0.00     99.94
11:26:00        all      0.06      0.00      0.02      0.00      0.00     99.92
11:26:01        all      0.00      0.00      0.00      0.00      0.00    100.00
11:26:02        all      0.00      0.00      0.00      0.00      0.00    100.00
11:26:03        all      0.00      0.00      0.00      0.00      0.00    100.00
11:26:04        all      0.00      0.00      0.00      0.00      0.00    100.00
11:26:05        all      0.00      0.00      0.00      0.00      0.00    100.00
11:26:06        all      0.04      0.00      0.06      0.00      0.00     99.90
11:26:07        all      4.34      0.00      6.77      0.00      0.00     88.89
11:26:08        all      8.12      0.00     12.12      0.00      0.00     79.76
11:26:09        all      6.95      0.00     12.39      0.00      0.00     80.66
11:26:10        all      8.18      0.00     12.68      0.00      0.00     79.14
11:26:11        all      8.71      0.00     10.93      0.00      0.00     80.36
11:26:12        all      7.77      0.00     12.84      0.00      0.00     79.39
11:26:13        all      8.63      0.00     12.47      0.00      0.00     78.91
11:26:14        all      8.18      0.00     12.06      0.00      0.00     79.76
11:26:15        all      7.13      0.00     11.23      0.00      0.00     81.64
11:26:16        all      8.14      0.00     11.75      0.00      0.00     80.11
11:26:17        all      8.87      0.00     13.10      0.00      0.00     78.03
11:26:18        all      7.80      0.00     10.74      0.00      0.00     81.46
11:26:19        all      7.94      0.00     12.19      0.00      0.00     79.88
11:26:20        all      8.58      0.00     11.69      0.00      0.00     79.74
11:26:21        all      7.71      0.00     11.34      0.00      0.00     80.95
11:26:22        all      7.27      0.00     11.84      0.00      0.00     80.90
11:26:23        all      7.85      0.00     12.25      0.00      0.00     79.90
Average:        all      5.04      0.00      7.55      0.00      0.00     87.41
