procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 95841152  23704 824032    0    0    34  1242 219120    9  5  3 92  0  0  0
 0  0      0 95840448  23704 824040    0    0     0    19  750  477  0  0 100  0  0  0
 0  0      0 95840208  23704 824044    0    0     0     0  765  615  0  0 100  0  0  0
 0  0      0 95839480  23704 824052    0    0     0     0  671  315  0  0 100  0  0  0
 0  0      0 95839256  23704 824120    0    0     0     0  370  258  0  0 100  0  0  0
 0  0      0 95839256  23704 824136    0    0     0     0  117  126  0  0 100  0  0  0
 0  0      0 95839256  23704 824156    0    0     0     0  251  309  0  0 100  0  0  0
 0  0      0 95839256  23704 824176    0    0     0    11  119  132  0  0 100  0  0  0
 0  0      0 95839256  23704 824192    0    0     0     0  118  124  0  0 100  0  0  0
 0  0      0 95839004  23704 824216    0    0     0     0  283  212  0  0 100  0  0  0
 0  0      0 95836772  23704 824288    0    0     0     0 1133  345  0  0 100  0  0  0
 6  0      0 95830480  23704 824344    0    0     0     0 1034256 262867  8 12 80  0  0  0
 8  0      0 95828456  23704 824364    0    0     0     9 1108757 273683  7 12 81  0  0  0
 4  0      0 95827196  23704 824388    0    0     0     0 1104018 272809  7 12 81  0  0  0
 7  0      0 95826436  23704 824408    0    0     0     0 1112532 274023  9 12 79  0  0  0
12  0      0 95825428  23704 824428    0    0     0     0 1115005 272117  8 11 81  0  0  0
 3  0      0 95824412  23704 824448    0    0     0     0 1116122 272506  9 13 79  0  0  0
15  0      0 95824160  23704 824468    0    0     0     5 1111446 271336  8 13 79  0  0  0
 1  0      0 95823932  23704 824484    0    0     0     0 1113809 272463  8 11 81  0  0  0
 6  0      0 95824188  23704 824504    0    0     0     0 1111267 270753  7 12 81  0  0  0
 7  0      0 95822924  23704 824524    0    0     0     0 1114314 271223  9 13 78  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 8  0      0 95822168  23704 824544    0    0     0     0 1115052 268046  8 12 79  0  0  0
17  0      0 95820664  23704 824560    0    0     0     5 1115331 270427  8 11 81  0  0  0
10  0      0 95820912  23704 824584    0    0     0     0 1101574 269799  9 12 79  0  0  0
 3  0      0 95819668  23704 824604    0    0     0     0 1098907 271338  8 11 81  0  0  0
 6  0      0 95818672  23704 824624    0    0     0     0 1114622 273080  7 11 82  0  0  0
