Linux 6.6.121-0-virt (ip-172-31-2-125) 	03/24/26 	_aarch64_	(48 CPU)

11:31:26      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
11:31:27            0       572      2.68      3.46      2.81         0
11:31:28            0       571      2.68      3.46      2.81         0
11:31:29            0       571      2.68      3.46      2.81         0
11:31:30            0       571      2.68      3.46      2.81         0
11:31:31           19       647      2.68      3.46      2.81         0
11:31:32            0       647      2.47      3.40      2.79         0
11:31:33           18       647      2.47      3.40      2.79         0
11:31:34            6       647      2.47      3.40      2.79         0
11:31:35            9       647      2.47      3.40      2.79         0
11:31:36            2       647      2.47      3.40      2.79         0
11:31:37            2       647      2.91      3.48      2.82         0
11:31:38           16       647      2.91      3.48      2.82         0
11:31:39            9       647      2.91      3.48      2.82         0
11:31:40            6       647      2.91      3.48      2.82         0
11:31:41           15       647      2.91      3.48      2.82         0
11:31:42            4       647      2.92      3.47      2.82         0
11:31:43           12       647      2.92      3.47      2.82         0
11:31:44            0       647      2.92      3.47      2.82         0
11:31:45           23       647      2.92      3.47      2.82         0
11:31:46            4       647      2.92      3.47      2.82         0
11:31:47            9       647      3.97      3.68      2.89         0
11:31:48           14       647      3.97      3.68      2.89         0
11:31:49            4       647      3.97      3.68      2.89         0
11:31:50           15       646      3.97      3.68      2.89         0
11:31:51            1       646      3.97      3.68      2.89         0
11:31:52           17       644      3.65      3.62      2.88         0
Average:            8       635      3.02      3.50      2.83         0
