Linux 6.6.121-0-virt (ip-172-31-2-125) 	03/24/26 	_aarch64_	(48 CPU)

11:31:25        CPU     %user     %nice   %system   %iowait    %steal     %idle
11:31:26        all      0.04      0.00      0.06      0.00      0.00     99.90
11:31:27        all      0.06      0.00      0.00      0.00      0.00     99.94
11:31:28        all      0.00      0.00      0.00      0.00      0.00    100.00
11:31:29        all      0.00      0.00      0.00      0.00      0.00    100.00
11:31:30        all      0.02      0.00      0.00      0.02      0.00     99.96
11:31:31        all      1.46      0.00      7.74      0.15      0.00     90.65
11:31:32        all      3.86      0.00     17.29      0.00      0.00     78.85
11:31:33        all      3.49      0.00     17.10      0.00      0.00     79.41
11:31:34        all      3.40      0.00     17.72      0.00      0.00     78.88
11:31:35        all      3.59      0.00     17.02      0.00      0.00     79.39
11:31:36        all      3.25      0.00     16.78      0.02      0.00     79.95
11:31:37        all      3.12      0.00     18.16      0.00      0.00     78.73
11:31:38        all      3.55      0.00     17.01      0.00      0.00     79.45
11:31:39        all      3.32      0.00     15.79      0.00      0.00     80.88
11:31:40        all      3.72      0.00     17.59      0.00      0.00     78.69
11:31:41        all      3.33      0.00     18.20      0.00      0.00     78.47
11:31:42        all      3.15      0.00     16.58      0.00      0.00     80.27
11:31:43        all      3.59      0.00     17.77      0.00      0.00     78.64
11:31:44        all      2.94      0.00     16.21      0.00      0.00     80.85
11:31:45        all      3.03      0.00     15.57      0.00      0.00     81.40
11:31:46        all      3.67      0.00     19.40      0.02      0.00     76.91
11:31:47        all      3.42      0.00     19.01      0.00      0.00     77.57
11:31:48        all      3.81      0.00     17.98      0.00      0.00     78.21
11:31:49        all      3.33      0.00     17.59      0.00      0.00     79.08
11:31:50        all      2.98      0.00     19.17      0.00      0.00     77.85
11:31:51        all      3.52      0.00     17.70      0.00      0.00     78.77
Average:        all      2.65      0.00     13.59      0.01      0.00     83.76
