procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 95920616  24052 791256    0    0    28  1061 348395   72  1  4 95  0  0  0
 0  0      0 95919396  24052 791264    0    0     0     0  736  354  0  0 100  0  0  0
 0  0      0 95919396  24052 791268    0    0     0     0  597  388  0  0 100  0  0  0
 0  0      0 95918680  24052 791276    0    0     0     0  623  389  0  0 100  0  0  0
 0  0      0 95918932  24052 791276    0    0     0     0  125  130  0  0 100  0  0  0
 0  0      0 95918932  24052 791276    0    0     0     9  106  123  0  0 100  0  0  0
 0  1      0 95905416  24056 791272    0    0     0   289  949 1164  0  0 100  0  0  0
 7  0      0 95848404  24060 791484    0    0     0   292 1326463 1306485  3 14 83  0  0  0
 2  0      0 95848768  24060 791484    0    0     0     0 1655018 1656682  4 17 80  0  0  0
13  0      0 95845156  24060 791488    0    0     0     0 1610417 1604816  4 18 78  0  0  0
 8  0      0 95850940  24060 791488    0    0     0     0 1591061 1578498  3 18 79  0  0  0
20  0      0 95844852  24060 791488    0    0     0     0 1642992 1636183  4 16 81  0  0  0
10  0      0 95846564  24060 791488    0    0     0    50 1616438 1606281  3 18 78  0  0  0
 7  0      0 95847336  24060 791492    0    0     0     0 1609948 1603117  3 19 78  0  0  0
 0  0      0 95849444  24060 791492    0    0     0     0 1616591 1611846  3 13 84  0  0  0
 6  0      0 95844400  24060 791496    0    0     0     0 1617312 1610808  4 18 78  0  0  0
 0  0      0 95844140  24060 791496    0    0     0     0 1619139 1611328  3 18 79  0  0  0
 9  0      0 95844756  24060 791496    0    0     0     6 1622570 1616950  3 17 80  0  0  0
14  0      0 95844720  24060 791496    0    0     0     0 1602447 1593337  3 18 78  0  0  0
 6  0      0 95842696  24060 791496    0    0     0     0 1629753 1624121  3 16 80  0  0  0
 5  0      0 95843904  24060 791496    0    0     0     0 1633616 1625461  3 17 80  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
19  0      0 95840008  24060 791496    0    0     0     0 1638235 1626923  3 17 80  0  0  0
22  0      0 95840560  24060 791500    0    0     0     5 1611323 1599647  4 18 78  0  0  0
14  0      0 95838604  24060 791500    0    0     0     0 1599018 1586051  4 18 78  0  0  0
 8  0      0 95837632  24060 791500    0    0     0     0 1593832 1581891  3 18 79  0  0  0
 5  0      0 95839648  24060 791504    0    0     0     0 1575227 1558881  4 19 77  0  0  0
