Linux 6.6.121-0-virt (ip-172-31-0-170) 	03/24/26 	_aarch64_	(48 CPU)

11:31:22      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
11:31:23            0       646      4.91      5.91      4.86         0
11:31:24            0       648      4.91      5.91      4.86         0
11:31:25            1       646      4.91      5.91      4.86         0
11:31:26            1       646      4.52      5.81      4.83         0
11:31:27            1       646      4.52      5.81      4.83         0
11:31:28            1       646      4.52      5.81      4.83         0
11:31:29            1       646      4.52      5.81      4.83         0
11:31:30            1       651      4.52      5.81      4.83         0
11:31:31           19       649      4.16      5.72      4.81         0
11:31:32           19       649      4.16      5.72      4.81         0
11:31:33            8       649      4.16      5.72      4.81         0
11:31:34           10       649      4.16      5.72      4.81         0
11:31:35            2       649      4.16      5.72      4.81         0
11:31:36           11       649      5.19      5.90      4.87         0
11:31:37            7       649      5.19      5.90      4.87         0
11:31:38            4       649      5.19      5.90      4.87         0
11:31:39           10       649      5.19      5.90      4.87         0
11:31:40           12       649      5.19      5.90      4.87         0
11:31:41            5       649      4.93      5.84      4.86         0
11:31:42            6       649      4.93      5.84      4.86         0
11:31:43           11       649      4.93      5.84      4.86         0
11:31:44           11       649      4.93      5.84      4.86         0
11:31:45           15       649      4.93      5.84      4.86         0
11:31:46           14       648      4.94      5.82      4.86         0
11:31:47            3       649      4.94      5.82      4.86         1
11:31:48           10       647      4.94      5.82      4.86         0
Average:            7       648      4.75      5.83      4.85         0
