Linux 6.6.121-0-virt (ip-172-31-0-170) 	03/24/26 	_aarch64_	(48 CPU)

11:31:21        CPU     %user     %nice   %system   %iowait    %steal     %idle
11:31:22        all      0.08      0.00      0.00      0.00      0.00     99.92
11:31:23        all      0.04      0.00      0.02      0.00      0.00     99.94
11:31:24        all      0.06      0.00      0.02      0.00      0.00     99.92
11:31:25        all      0.00      0.00      0.02      0.00      0.00     99.98
11:31:26        all      0.00      0.00      0.02      0.00      0.00     99.98
11:31:27        all      0.00      0.00      0.02      0.00      0.00     99.98
11:31:28        all      0.00      0.00      0.02      0.00      0.00     99.98
11:31:29        all      0.00      0.00      0.02      0.00      0.00     99.98
11:31:30        all      0.02      0.00      0.06      0.00      0.00     99.92
11:31:31        all      4.71      0.00      5.53      0.00      0.00     89.75
11:31:32        all     10.61      0.00     11.68      0.00      0.00     77.71
11:31:33        all      9.38      0.00     11.85      0.00      0.00     78.77
11:31:34        all     11.80      0.00     12.08      0.00      0.00     76.12
11:31:35        all      9.65      0.00     11.76      0.00      0.00     78.59
11:31:36        all      9.10      0.00     11.16      0.00      0.00     79.73
11:31:37        all      9.17      0.00     10.92      0.00      0.00     79.90
11:31:38        all     10.29      0.00     11.08      0.00      0.00     78.63
11:31:39        all     11.11      0.00     11.68      0.00      0.00     77.22
11:31:40        all     10.51      0.00     11.41      0.00      0.00     78.09
11:31:41        all      9.92      0.00     11.66      0.00      0.00     78.41
11:31:42        all     10.69      0.00     10.91      0.00      0.00     78.40
11:31:43        all     10.32      0.00     11.26      0.00      0.00     78.42
11:31:44        all      9.73      0.00     10.88      0.00      0.00     79.39
11:31:45        all      9.62      0.00     10.76      0.00      0.00     79.62
11:31:46        all      9.71      0.00     11.44      0.00      0.00     78.85
11:31:47        all     10.56      0.00     10.40      0.00      0.00     79.04
Average:        all      6.36      0.00      7.10      0.00      0.00     86.54
