procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 95705404  23836 824540    0    0    29  1078 241900   11  5  3 91  0  0  0
 0  0      0 95703932  23836 824552    0    0     0    17  833  513  0  0 100  0  0  0
 0  0      0 95703440  23836 824556    0    0     0     0  736  479  0  0 100  0  0  0
 0  0      0 95702432  23836 824564    0    0     0     0  746  364  0  0 100  0  0  0
 0  0      0 95702432  23836 824568    0    0     0     0  383  241  0  0 100  0  0  0
 0  0      0 95702432  23836 824568    0    0     0     0  196  257  0  0 100  0  0  0
 0  0      0 95702432  23836 824604    0    0     0    11  364  335  0  0 100  0  0  0
 0  0      0 95702432  23836 824624    0    0     0     0  109  114  0  0 100  0  0  0
 0  0      0 95702432  23836 824640    0    0     0     0  125  134  0  0 100  0  0  0
 0  0      0 95702208  23836 824660    0    0     0     0  243  162  0  0 100  0  0  0
 0  0      0 95699468  23836 824684    0    0     0     0 1193  363  0  0 100  0  0  0
10  0      0 95698156  23836 824748    0    0     0    11 843777 196920  8 10 82  0  0  0
 9  0      0 95698408  23836 824768    0    0     0     0 1079664 244146 10 11 79  0  0  0
 7  0      0 95697180  23836 824796    0    0     0     0 1074516 244781 10 12 77  0  0  0
13  0      0 95704860  23836 824816    0    0     0     0 1071576 245539 11 12 78  0  0  0
 9  0      0 95707960  23836 824832    0    0     0     0 1076440 245040 10 11 79  0  0  0
14  0      0 95706476  23836 824860    0    0     0     0 1076838 245489  9 11 80  0  0  0
 7  0      0 95706224  23836 824884    0    0     0     5 1075706 246708  9 11 80  0  0  0
18  0      0 95709704  23836 824900    0    0     0     0 1077356 246211 11 11 78  0  0  0
10  0      0 95713316  23836 824920    0    0     0     0 1073506 245615 10 12 78  0  0  0
12  0      0 95713316  23836 824944    0    0     0     0 1075470 245470 11 11 78  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 8  0      0 95713068  23836 824964    0    0     0     0 1075807 246525 10 12 78  0  0  0
14  0      0 95713068  23840 824984    0    0     0     5 1074442 246475 11 11 78  0  0  0
 9  0      0 95712312  23840 825012    0    0     0     0 1075370 246314 10 10 80  0  0  0
11  0      0 95712060  23840 825036    0    0     0     0 1073330 244748 10 11 79  0  0  0
14  0      0 95713568  23840 825056    0    0     0     0 1078641 245867 10 11 79  0  0  0
