Linux 6.6.121-0-virt (ip-172-31-2-125) 	03/24/26 	_aarch64_	(48 CPU)

11:32:30      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
11:32:31            0       574      2.03      3.22      2.77         0
11:32:32            0       572      1.87      3.16      2.75         0
11:32:33            0       572      1.87      3.16      2.75         0
11:32:34            0       572      1.87      3.16      2.75         0
11:32:35            1       642      1.87      3.16      2.75         0
11:32:36            4       642      1.87      3.16      2.75         0
11:32:37           10       642      1.96      3.16      2.76         0
11:32:38            6       642      1.96      3.16      2.76         0
11:32:39           10       642      1.96      3.16      2.76         0
11:32:40           10       642      1.96      3.16      2.76         0
11:32:41            5       642      1.96      3.16      2.76         0
11:32:42           10       642      1.80      3.11      2.74         0
11:32:43           13       642      1.80      3.11      2.74         0
11:32:44            8       642      1.80      3.11      2.74         0
11:32:45            4       642      1.80      3.11      2.74         0
11:32:46            7       642      1.80      3.11      2.74         0
11:32:47            5       642      2.14      3.15      2.76         0
11:32:48           11       642      2.14      3.15      2.76         0
11:32:49            4       642      2.14      3.15      2.76         0
11:32:50            9       642      2.14      3.15      2.76         0
11:32:51           12       642      2.14      3.15      2.76         0
11:32:52            9       642      2.61      3.24      2.79         0
11:32:53           12       642      2.61      3.24      2.79         0
11:32:54            2       641      2.61      3.24      2.79         0
11:32:55           17       641      2.61      3.24      2.79         0
11:32:56           17       639      2.61      3.24      2.79         0
Average:            7       631      2.07      3.17      2.76         0
