Linux 6.6.121-0-virt (ip-172-31-2-125) 	03/24/26 	_aarch64_	(48 CPU)

11:32:30        CPU     %user     %nice   %system   %iowait    %steal     %idle
11:32:31        all      0.06      0.00      0.02      0.00      0.00     99.92
11:32:32        all      0.04      0.00      0.00      0.00      0.00     99.96
11:32:33        all      0.00      0.00      0.00      0.00      0.00    100.00
11:32:34        all      0.00      0.00      0.00      0.00      0.00    100.00
11:32:35        all      0.02      0.00      0.00      0.00      0.00     99.98
11:32:36        all      1.42      0.00      6.74      0.11      0.00     91.74
11:32:37        all      3.02      0.00     17.54      0.00      0.00     79.44
11:32:38        all      3.38      0.00     17.15      0.00      0.00     79.47
11:32:39        all      3.19      0.00     16.69      0.00      0.00     80.12
11:32:40        all      3.01      0.00     16.58      0.00      0.00     80.41
11:32:41        all      3.47      0.00     16.41      0.00      0.00     80.12
11:32:42        all      3.17      0.00     17.65      0.00      0.00     79.18
11:32:43        all      3.04      0.00     16.67      0.00      0.00     80.29
11:32:44        all      3.23      0.00     16.97      0.00      0.00     79.80
11:32:45        all      2.88      0.00     17.08      0.00      0.00     80.05
11:32:46        all      2.67      0.00     16.90      0.00      0.00     80.43
11:32:47        all      3.80      0.00     18.49      0.00      0.00     77.71
11:32:48        all      3.17      0.00     19.12      0.00      0.00     77.71
11:32:49        all      3.10      0.00     17.48      0.00      0.00     79.42
11:32:50        all      3.32      0.00     17.38      0.00      0.00     79.30
11:32:51        all      3.61      0.00     19.16      0.00      0.00     77.23
11:32:52        all      3.02      0.00     16.66      0.02      0.00     80.30
11:32:53        all      3.45      0.00     18.81      0.00      0.00     77.74
11:32:54        all      3.87      0.00     18.27      0.00      0.00     77.87
11:32:55        all      3.53      0.00     19.28      0.00      0.00     77.19
11:32:56        all      3.37      0.00     18.17      0.00      0.00     78.47
Average:        all      2.54      0.00     13.64      0.01      0.00     83.81
