procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 95914440  24072 791348    0    0    27  1034 353726   73  1  4 95  0  0  0
 0  0      0 95914440  24072 791356    0    0     0     0  703  325  0  0 100  0  0  0
 0  0      0 95913936  24072 791360    0    0     0     0  553  361  0  0 100  0  0  0
 0  0      0 95913712  24072 791368    0    0     0     0  700  420  0  0 100  0  0  0
 0  0      0 95913712  24072 791368    0    0     0     0  115  129  0  0 100  0  0  0
 0  0      0 95913712  24072 791368    0    0     0     0   96  116  0  0 100  0  0  0
 0  0      0 95913460  24072 791368    0    0     0     9  328  264  0  0 100  0  0  0
 8  0      0 95871924  24072 791572    0    0     0   605 1181961 1175491  2 12 86  0  0  0
10  0      0 95877792  24072 791604    0    0     0     0 1696409 1691393  3 18 79  0  0  0
12  0      0 95872332  24072 791604    0    0     0     0 1690318 1689006  3 17 80  0  0  0
14  0      0 95873812  24072 791608    0    0     0     0 1713009 1717930  3 16 80  0  0  0
12  0      0 95875416  24072 791608    0    0     0     0 1698101 1700436  3 16 81  0  0  0
 4  0      0 95876644  24072 791608    0    0     0    15 1680802 1679307  3 17 80  0  0  0
11  0      0 95869820  24072 791612    0    0     0     0 1707727 1710253  3 17 80  0  0  0
 9  0      0 95875304  24072 791612    0    0     0     0 1666903 1661182  3 18 79  0  0  0
 8  0      0 95870904  24072 791612    0    0     0     0 1703523 1697317  3 16 81  0  0  0
12  0      0 95876392  24072 791616    0    0     0     0 1691142 1686100  3 17 80  0  0  0
10  0      0 95871724  24072 791616    0    0     0     5 1694136 1690309  3 17 80  0  0  0
 9  0      0 95872576  24072 791616    0    0     0     0 1666519 1659066  3 19 78  0  0  0
 7  0      0 95872588  24072 791616    0    0     0     0 1670387 1664146  3 18 79  0  0  0
 7  0      0 95870300  24072 791616    0    0     0     0 1688118 1684895  3 17 80  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 7  0      0 95872760  24072 791616    0    0     0     0 1656915 1646835  3 18 78  0  0  0
 7  0      0 95879460  24072 791616    0    0     0     5 1664086 1654701  4 18 78  0  0  0
 9  0      0 95876516  24072 791620    0    0     0     0 1685207 1680844  3 17 80  0  0  0
10  0      0 95871748  24072 791620    0    0     0     0 1654066 1640919  3 19 77  0  0  0
 9  0      0 95874056  24072 791624    0    0     0     0 1647084 1634907  4 18 78  0  0  0
