Linux 6.6.121-0-virt (ip-172-31-0-170) 	03/24/26 	_aarch64_	(48 CPU)

11:32:26      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
11:32:27            0       649      2.98      5.24      4.70         0
11:32:28            0       649      2.98      5.24      4.70         0
11:32:29            0       648      2.98      5.24      4.70         0
11:32:30            0       647      2.98      5.24      4.70         0
11:32:31            0       647      2.74      5.15      4.68         0
11:32:32            0       647      2.74      5.15      4.68         0
11:32:33            0       647      2.74      5.15      4.68         0
11:32:34            0       649      2.74      5.15      4.68         0
11:32:35           18       650      2.74      5.15      4.68         0
11:32:36           23       650      3.56      5.28      4.72         0
11:32:37           16       650      3.56      5.28      4.72         0
11:32:38           13       650      3.56      5.28      4.72         0
11:32:39           25       650      3.56      5.28      4.72         0
11:32:40           21       650      3.56      5.28      4.72         0
11:32:41            5       650      4.48      5.44      4.78         0
11:32:42           32       650      4.48      5.44      4.78         0
11:32:43           25       650      4.48      5.44      4.78         0
11:32:44           22       650      4.48      5.44      4.78         0
11:32:45           21       650      4.48      5.44      4.78         0
11:32:46           16       650      5.64      5.67      4.86         0
11:32:47           22       650      5.64      5.67      4.86         0
11:32:48           32       650      5.64      5.67      4.86         0
11:32:49           27       650      5.64      5.67      4.86         0
11:32:50           23       649      5.64      5.67      4.86         0
11:32:51           19       650      6.79      5.91      4.94         0
11:32:52           14       648      6.79      5.91      4.94         0
Average:           14       649      4.14      5.40      4.76         0
