Linux 6.6.121-0-virt (ip-172-31-0-170) 	03/24/26 	_aarch64_	(48 CPU)

11:32:26        CPU     %user     %nice   %system   %iowait    %steal     %idle
11:32:27        all      0.06      0.00      0.06      0.00      0.00     99.88
11:32:28        all      0.04      0.00      0.02      0.00      0.00     99.94
11:32:29        all      0.08      0.00      0.02      0.00      0.00     99.90
11:32:30        all      0.00      0.00      0.02      0.00      0.00     99.98
11:32:31        all      0.00      0.00      0.02      0.00      0.00     99.98
11:32:32        all      0.00      0.00      0.02      0.00      0.00     99.98
11:32:33        all      0.00      0.00      0.02      0.00      0.00     99.98
11:32:34        all      0.00      0.00      0.02      0.00      0.00     99.98
11:32:35        all      0.06      0.00      0.00      0.00      0.00     99.94
11:32:36        all      7.36      0.00      6.55      0.00      0.00     86.09
11:32:37        all     21.95      0.00     18.78      0.00      0.00     59.27
11:32:38        all     22.77      0.00     20.22      0.00      0.00     57.01
11:32:39        all     25.10      0.00     17.94      0.00      0.00     56.96
11:32:40        all     24.18      0.00     19.40      0.00      0.00     56.42
11:32:41        all     21.89      0.00     18.60      0.00      0.00     59.52
11:32:42        all     22.67      0.00     20.12      0.00      0.00     57.21
11:32:43        all     19.50      0.00     19.57      0.00      0.00     60.93
11:32:44        all     22.91      0.00     18.81      0.00      0.00     58.28
11:32:45        all     22.55      0.00     19.67      0.00      0.00     57.78
11:32:46        all     24.58      0.00     19.23      0.00      0.00     56.20
11:32:47        all     22.27      0.00     19.65      0.00      0.00     58.08
11:32:48        all     19.49      0.00     19.40      0.00      0.00     61.12
11:32:49        all     22.37      0.00     18.93      0.00      0.00     58.70
11:32:50        all     22.31      0.00     19.29      0.00      0.00     58.39
11:32:51        all     20.16      0.00     21.41      0.00      0.00     58.42
11:32:52        all     23.18      0.00     19.44      0.00      0.00     57.39
Average:        all     13.86      0.00     12.02      0.00      0.00     74.11
