procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 95735772  23852 824696    0    0    29  1051 245203   11  5  3 91  0  0  0
 0  0      0 95734580  23852 824704    0    0     0    43  770  517  0  0 100  0  0  0
 0  0      0 95734592  23852 824716    0    0     0     0  716  503  0  0 100  0  0  0
 0  0      0 95734088  23852 824720    0    0     0     0  685  402  0  0 100  0  0  0
 0  0      0 95733616  23852 824804    0    0     0     0  356  239  0  0 100  0  0  0
 0  0      0 95733616  23852 824820    0    0     0     0  124  125  0  0 100  0  0  0
 0  0      0 95733616  23852 824840    0    0     0    76  231  241  0  0 100  0  0  0
 0  0      0 95733616  23852 824860    0    0     0     0  140  180  0  0 100  0  0  0
 0  0      0 95733616  23852 824876    0    0     0     0  124  129  0  0 100  0  0  0
 1  0      0 95733616  23852 824900    0    0     0     0  208  146  0  0 100  0  0  0
 0  0      0 95730592  23852 824920    0    0     0     0 1234  390  0  0 100  0  0  0
16  0      0 95728928  23856 825020    0    0     0   132 1059068 726604 16 13 72  0  0  0
28  0      0 95721356  23856 825044    0    0     0     0 1468181 1021076 22 20 59  0  0  0
20  0      0 95714476  23856 825064    0    0     0     0 1479995 1046127 25 19 56  0  0  0
24  0      0 95714808  23856 825088    0    0     0     0 1514740 1113185 23 19 57  0  0  0
 9  0      0 95712600  23856 825104    0    0     0     0 1478198 1041862 23 19 57  0  0  0
19  0      0 95711148  23856 825132    0    0     0     9 1458456 1008813 22 18 60  0  0  0
16  0      0 95706836  23856 825156    0    0     0     0 1496315 1074972 23 20 57  0  0  0
22  0      0 95710464  23856 825172    0    0     0     0 1464330 1016593 20 20 60  0  0  0
36  0      0 95710264  23856 825192    0    0     0     0 1487628 1057268 23 19 57  0  0  0
21  0      0 95709028  23856 825216    0    0     0     0 1471419 1031087 23 20 57  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
38  0      0 95708324  23856 825236    0    0     0     5 1488896 1059697 24 19 57  0  0  0
 5  0      0 95708864  23856 825256    0    0     0     0 1454377 1003628 21 19 60  0  0  0
10  0      0 95709920  23856 825276    0    0     0     0 1439997 975815 20 20 60  0  0  0
11  0      0 95709456  23856 825296    0    0     0     0 1480225 1044555 22 19 59  0  0  0
10  0      0 95710268  23856 825320    0    0     0     0 1446183 986237 22 20 58  0  0  0
